tipo;uri;parent_uri;fecha;usuario;id_anonimo;contenido;likes;reposts;replies;media_path;idioma_ia;relevancia_ia;seguidores;texto_citado
COMENTARIO;at://did:plc:wxogqgxkbsceibsmxdsgttsk/app.bsky.feed.post/3mk6xsxdr4k2p;at://did:plc:hlgxymnbav45hdagptv6kbqz/app.bsky.feed.post/3mk6vmcbfbk2a;2026-04-23T21:36:43.987Z;liliante.bsky.social;EB18E450DE1BA7C4;Prachtig he! Een avond om heel lang van na te genieten.;1;0;0;;Desconocido;SI;;
COMENTARIO;at://did:plc:uvcalxr5wnk7mcft64lniill/app.bsky.feed.post/3mk6whu7ug22x;at://did:plc:hlgxymnbav45hdagptv6kbqz/app.bsky.feed.post/3mk6vmcbfbk2a;2026-04-23T21:12:37.873Z;eevaliukku.bsky.social;2694E8BF5CD0EE9B;Ik ben overdonderd;1;0;1;;Desconocido;SI;;
COMENTARIO;at://did:plc:nq2ix2u2vd36ekkqe55q3zys/app.bsky.feed.post/3mk75dhneik2b;at://did:plc:hlgxymnbav45hdagptv6kbqz/app.bsky.feed.post/3mk6vmcbfbk2a;2026-04-23T23:15:26.659Z;marianneka.bsky.social;E2F91C104F8709D7;Ge-weldig, wat een stem en wat een show!;1;0;0;;Desconocido;SI;;
COMENTARIO;at://did:plc:ioj3dmqlwowifija5ph53kdr/app.bsky.feed.post/3mk6vowr7qc2l;at://did:plc:hlgxymnbav45hdagptv6kbqz/app.bsky.feed.post/3mk6vmcbfbk2a;2026-04-23T20:58:41.677Z;jaapfriso.bsky.social;4E2A75BBCC050815;Je citeert ABBA 😍;2;0;0;;Desconocido;SI;;
COMENTARIO;at://did:plc:hyqnfc7a7mwnnosbnzatjpxu/app.bsky.feed.post/3mk6xyv75a226;at://did:plc:hlgxymnbav45hdagptv6kbqz/app.bsky.feed.post/3mk6vmcbfbk2a;2026-04-23T21:40:03.065Z;kamiklazi.bsky.social;C68379F1E0F22129;Niet normaal meer! Een avond vol kunst. Fenomenaal!;2;0;1;;Desconocido;SI;;
COMENTARIO;at://did:plc:hfh6ppbezvbis4xtxgvfengk/app.bsky.feed.post/3mk6wammwys2g;at://did:plc:hlgxymnbav45hdagptv6kbqz/app.bsky.feed.post/3mk6vmcbfbk2a;2026-04-23T21:08:35.031Z;gerardvr.bsky.social;2ABD6930D6D9E0F8;Vertaalde boventiteling?;0;0;1;;Desconocido;SI;;
COMENTARIO;at://did:plc:avuwirqzx7kudzxedz7nmjkn/app.bsky.feed.post/3mk6xithulk2c;at://did:plc:hlgxymnbav45hdagptv6kbqz/app.bsky.feed.post/3mk6vmcbfbk2a;2026-04-23T21:31:04.382Z;markdijkhuis.bsky.social;8B6A1539B847CA81;Jaa, mooi dat je ook ingepakt bent! Wat een show.;2;0;0;;Desconocido;SI;;
COMENTARIO;at://did:plc:6v37ej3s3n77beai77ecrgy4/app.bsky.feed.post/3mk6vo5ehwc2t;at://did:plc:hlgxymnbav45hdagptv6kbqz/app.bsky.feed.post/3mk6vmcbfbk2a;2026-04-23T20:58:15.045Z;alainverheij.bsky.social;9412E2E43B6C851C;Yes;0;0;1;;Desconocido;SI;;
COMENTARIO;at://did:plc:2dhwoyjex6nhescfe2hpq7pq/app.bsky.feed.post/3mk6wa7u3yk2g;at://did:plc:hlgxymnbav45hdagptv6kbqz/app.bsky.feed.post/3mk6vmcbfbk2a;2026-04-23T21:08:21.635Z;eduarddiep.bsky.social;339D8F324BCB0765;Vrouwlief (jarig) en dochter waren er ook. Genoten!!!;1;0;0;;Desconocido;SI;;
POST;at://did:plc:uup2on3uzr6a3sgageemew72/app.bsky.feed.post/3mk6usftsn22e;at://did:plc:uup2on3uzr6a3sgageemew72/app.bsky.feed.post/3mk6usftsn22e;2026-04-23T20:42:44.412Z;corvusregis.bsky.social;E773C781A7D30B82;O Lux da Rosalía;20;4;0;;Desconocido;SI;2644;I may as well reshare it myself 😇
POST;at://did:plc:hyqnfc7a7mwnnosbnzatjpxu/app.bsky.feed.post/3mk6ugktebs26;at://did:plc:hyqnfc7a7mwnnosbnzatjpxu/app.bsky.feed.post/3mk6ugktebs26;2026-04-23T20:36:06.988Z;kamiklazi.bsky.social;C68379F1E0F22129;Wauw!!! Rosalía is echt buitencategorie goed!;5;0;1;;Desconocido;SI;814;
COMENTARIO;at://did:plc:hyqnfc7a7mwnnosbnzatjpxu/app.bsky.feed.post/3mk6wweewbc26;at://did:plc:hyqnfc7a7mwnnosbnzatjpxu/app.bsky.feed.post/3mk6ugktebs26;2026-04-23T21:20:44.566Z;kamiklazi.bsky.social;C68379F1E0F22129;Rosalía is alles! Pop, opera, ballads, techno, Spaans. Pure kunst. Soms letterlijk. Echt nog nket vaak zoiets indrukwekkends meegemaakt!;6;0;0;;Desconocido;SI;;
POST;at://did:plc:gxvizwj4diq227fnax5s52kl/app.bsky.feed.post/3mk6tpiwgys2k;at://did:plc:gxvizwj4diq227fnax5s52kl/app.bsky.feed.post/3mk6tpiwgys2k;2026-04-23T20:23:13.236Z;rosathephox.bsky.social;D35C57A31FAD90BF;"Good news everyone! The title of the Redundancy Review now makes sense again!

Because I have been told I am getting laid off again.

Taking stock of things and getting a milestone to start working on these daily again. Day 289-317 out now!

#writingcommunity #writing #WordPress #WP #unemployed";2;0;0;;Desconocido;SI;70;
POST;at://did:plc:sm26i5lu46qqgy6vl5anun6c/app.bsky.feed.post/3mk6tndn3wc2t;at://did:plc:sm26i5lu46qqgy6vl5anun6c/app.bsky.feed.post/3mk6tndn3wc2t;2026-04-23T20:22:00.580Z;xmorriganx.bsky.social;D50F3565A3708362;cuando empiezo a odiar mi mandíbula cuadriculada pero recuerdo que es la misma que la de mi tatatataratía miss rosalía;0;0;1;;Desconocido;SI;25;
COMENTARIO;at://did:plc:sm26i5lu46qqgy6vl5anun6c/app.bsky.feed.post/3mk6tqgtvoc2t;at://did:plc:sm26i5lu46qqgy6vl5anun6c/app.bsky.feed.post/3mk6tndn3wc2t;2026-04-23T20:23:44.614Z;xmorriganx.bsky.social;D50F3565A3708362;querer modificarla sería antigalleguista debo resistir;0;0;0;;Desconocido;SI;;
POST;at://did:plc:pkufrosc24silyqi2wctxpdi/app.bsky.feed.post/3mk6t6e5evk2o;at://did:plc:pkufrosc24silyqi2wctxpdi/app.bsky.feed.post/3mk6t6e5evk2o;2026-04-23T20:13:37.798Z;pvdp.eurosky.social;802FAB19B711C74D;"Dankzij haar twee shows in Amsterdam wordt m'n profiel van Rosalía uit 2022 weer goed gelezen. Leuk! Lang en hard aan gewerkt destijds, trots op.

🎁: www.nrc.nl/nieuws/2022/...";15;4;1;;Desconocido;SI;650;
COMENTARIO;at://did:plc:tzgx23yryferghu4mlooy2rm/app.bsky.feed.post/3mk7qpgkejs2h;at://did:plc:pkufrosc24silyqi2wctxpdi/app.bsky.feed.post/3mk6t6e5evk2o;2026-04-24T05:02:09.260Z;emkemol.nl;A73D217550C2AA6E;Interessant, dank!;1;0;0;;Desconocido;SI;;
POST;at://did:plc:kwddxyzeu26skuf4ckdx3l3r/app.bsky.feed.post/3mk6sztubtc24;at://did:plc:kwddxyzeu26skuf4ckdx3l3r/app.bsky.feed.post/3mk6sztubtc24;2026-04-23T20:11:06.505Z;bnktop.bsky.social;0CE85D9489F1D51B;Vampire Survivors X Rosalía;1;0;0;;Desconocido;SI;408;
POST;at://did:plc:extqxtsoc4q4qnbmwizooppn/app.bsky.feed.post/3mk6rjtg4l42x;at://did:plc:extqxtsoc4q4qnbmwizooppn/app.bsky.feed.post/3mk6rjtg4l42x;2026-04-23T19:43:19.000Z;triple.jplays.au;AC000A12EC62F2B0;"#NowPlaying
🕠 5:43 am

🎵 Divinize
🧑‍🎤 ROSALÍA
💿 LUX

🎧 Apple Music / YouTube Music

📝 Lyrics";1;0;0;;Desconocido;SI;1147;
POST;at://did:plc:haymfxtcknhpilemtx67ymva/app.bsky.feed.post/3mk6rbjqokc2o;at://did:plc:haymfxtcknhpilemtx67ymva/app.bsky.feed.post/3mk6rbjqokc2o;2026-04-23T19:39:36.853Z;jvdworp.eurosky.social;0749F9981AD190C1;"www.nrc.nl/nieuws/2026/...

7 dagen gratis";2;0;0;;Desconocido;SI;4600;
POST;at://did:plc:2zsiqy2trdksgsxbztnr6ljp/app.bsky.feed.post/3mk6qw7ye622x;at://did:plc:2zsiqy2trdksgsxbztnr6ljp/app.bsky.feed.post/3mk6qw7ye622x;2026-04-23T19:33:17.494Z;fogaodako.bsky.social;68327CA112D7113A;indo ouvir o novo do nine inch nails;1;0;0;;Desconocido;SI;199;
POST;at://did:plc:ddanrakjhr7uyoler4fuskbk/app.bsky.feed.post/3mk6pxefls42l;at://did:plc:ddanrakjhr7uyoler4fuskbk/app.bsky.feed.post/3mk6pxefls42l;2026-04-23T19:16:01.766939Z;concellodacoruna.bsky.social;D585FE35013100D8;"🎶 O RESIS 2026 arrinca no Teatro Rosalía de Castro cunha homenaxe ao compositor estadounidense Morton Feldman

🤝 A alcaldesa, Inés Rey, asistiu a este concerto inaugural";1;0;0;;Desconocido;SI;629;
POST;at://did:plc:7y77b5czc74374mwukeo7vlh/app.bsky.feed.post/3mk6ogewvxc23;at://did:plc:7y77b5czc74374mwukeo7vlh/app.bsky.feed.post/3mk6ogewvxc23;2026-04-23T18:48:38.359Z;eusoufael.bsky.social;376DDECA82C5B52F;Hoje o brinco é em homenagem a Rosália;15;0;1;;Desconocido;SI;871;
COMENTARIO;at://did:plc:7y77b5czc74374mwukeo7vlh/app.bsky.feed.post/3mk6ooyytis23;at://did:plc:7y77b5czc74374mwukeo7vlh/app.bsky.feed.post/3mk6ogewvxc23;2026-04-23T18:53:27.832Z;eusoufael.bsky.social;376DDECA82C5B52F;Meu corretor se recusa a escrever Rosalía;0;0;0;;Desconocido;SI;;
POST;at://did:plc:wxflzklpbcgnto46wvuql75j/app.bsky.feed.post/3mk6mkwxyfe2x;at://did:plc:wxflzklpbcgnto46wvuql75j/app.bsky.feed.post/3mk6mkwxyfe2x;2026-04-23T18:15:23.045Z;noticiaspr.bsky.social;98290AC5D87E9492;"Telemundo presenta el especial ""Billboard Mujeres Latinas en la Música"" el 23 de abril. Homenajes a grandes artistas como Rosalía y Becky G. No te lo pierdas.
www.tvboricuausa.com/2026/04/que-...";1;0;0;;Desconocido;SI;1188;
