tipo;uri;parent_uri;fecha;usuario;id_anonimo;contenido;likes;reposts;replies;media_path;idioma_ia;relevancia_ia;seguidores;texto_citado
COMENTARIO;at://did:plc:a2z5hrt5zud7ip5if76uy2ir/app.bsky.feed.post/3mk552cps522t;at://did:plc:a2z5hrt5zud7ip5if76uy2ir/app.bsky.feed.post/3mk552cp5ms2t;2026-04-23T04:05:00.004Z;enbyee.bsky.social;56FD38F953133DA6;embora escrito errado;1;0;0;;Desconocido;SI;;
POST;at://did:plc:yiqangnmi4pu2nimtlqy3tzb/app.bsky.feed.post/3mk4xe5d2gc2l;at://did:plc:yiqangnmi4pu2nimtlqy3tzb/app.bsky.feed.post/3mk4xe5d2gc2l;2026-04-23T02:23:07.456Z;astera-art.bsky.social;4B3297AFE7FC5E4F;"Saint Rosalia on her huge #carriage in Palermo’s Palazzo dei Normanni Square.
#photography, #PalacesAndGardens, #travelamdtransportation, #italy, #Sicily, #sculpture";13;1;3;;Desconocido;SI;579;
COMENTARIO;at://did:plc:yiqangnmi4pu2nimtlqy3tzb/app.bsky.feed.post/3mk4yrrbats24;at://did:plc:yiqangnmi4pu2nimtlqy3tzb/app.bsky.feed.post/3mk4xe5d2gc2l;2026-04-23T02:48:38.324Z;astera-art.bsky.social;4B3297AFE7FC5E4F;#YellowThu, #ColorADay, #urbangaxe;0;0;0;;Desconocido;SI;;
COMENTARIO;at://did:plc:yiqangnmi4pu2nimtlqy3tzb/app.bsky.feed.post/3mk4yao4x7s2z;at://did:plc:yiqangnmi4pu2nimtlqy3tzb/app.bsky.feed.post/3mk4xe5d2gc2l;2026-04-23T02:39:04.611Z;astera-art.bsky.social;4B3297AFE7FC5E4F;#EastCoastKin;1;0;0;;Desconocido;SI;;
COMENTARIO;at://did:plc:whgpgz6w22esnbzlisp4an4i/app.bsky.feed.post/3mk5gx3ldnc2v;at://did:plc:yiqangnmi4pu2nimtlqy3tzb/app.bsky.feed.post/3mk4xe5d2gc2l;2026-04-23T07:02:09.298Z;sabineshutterbug.bsky.social;A069644377D83C33;That’s truly an impressive presentation of Saint Rosalia!;1;0;0;;Desconocido;SI;;
POST;at://did:plc:c4ows6h5scip7dyf5l56ytch/app.bsky.feed.post/3mk4v3rcmrc2m;at://did:plc:c4ows6h5scip7dyf5l56ytch/app.bsky.feed.post/3mk4v3rcmrc2m;2026-04-23T01:42:38.945Z;phatcussy.bsky.social;5CC7369D35D01EC1;Reliquia by Rosalía absolutely whips;3;0;1;;Desconocido;SI;7041;
COMENTARIO;at://did:plc:n2jsmusnh3jt6nokd5dcloe6/app.bsky.feed.post/3mk4v4yg2o225;at://did:plc:c4ows6h5scip7dyf5l56ytch/app.bsky.feed.post/3mk4v3rcmrc2m;2026-04-23T01:43:19.952Z;wittywebhandle.bsky.social;986A5C8EFB1AC511;Rosalía whips;2;0;3;;Desconocido;SI;;
POST;at://did:plc:rc5dpipcst2hzjnvxvlfvyav/app.bsky.feed.post/3mk4sfnbkzs25;at://did:plc:rc5dpipcst2hzjnvxvlfvyav/app.bsky.feed.post/3mk4sfnbkzs25;2026-04-23T00:54:29.035Z;meridadotropico.bsky.social;9A54648E97C2AE47;Uma parte de mim fica irritada que a Rosália escolheu cantar em português de Portugal em Memória, a outra já acha que o tenebroso sotaque português ajuda a acrescentar uma camada de dramaticidade que a música pede e precisa;1;0;1;;Desconocido;SI;647;
COMENTARIO;at://did:plc:rc5dpipcst2hzjnvxvlfvyav/app.bsky.feed.post/3mk4sfncbik25;at://did:plc:rc5dpipcst2hzjnvxvlfvyav/app.bsky.feed.post/3mk4sfnbkzs25;2026-04-23T00:54:29.036Z;meridadotropico.bsky.social;9A54648E97C2AE47;Memória é a música do Lux que mais me pega pois foi feita para mim, que sou historiadora!!!;1;0;1;;Desconocido;SI;;
POST;at://did:plc:r5b4xxhnh2i36vzrpjjijxmf/app.bsky.feed.post/3mk4qez2njc26;at://did:plc:r5b4xxhnh2i36vzrpjjijxmf/app.bsky.feed.post/3mk4qez2njc26;2026-04-23T00:18:20.354Z;colorwavesfollow.blacksky.app;199D25AD84B7B357;rosalía? what are you doing here? #euphoria;0;0;0;;Desconocido;SI;879;
